workflow_id,workflow_source,status,created_at,approved_at,approved_by
WF001,ChangePortal,Approved,2026-02-01,2026-02-02,tom.sec
WF002,ChangePortal,Approved,2026-02-05,2026-02-06,tom.sec
WF003,ChangePortal,Approved,2026-02-10,2026-02-11,tom.sec
WF004,ChangePortal,Approved,2026-02-15,2026-02-16,tom.sec
WF005,ChangePortal,Approved,2026-02-20,2026-02-21,tom.sec
WF006,ChangePortal,Approved,2026-02-25,2026-02-26,tom.sec
WF007,ChangePortal,Approved,2026-03-01,2026-03-02,tom.sec
WF008,ChangePortal,Approved,2026-03-05,2026-03-06,tom.sec
WF009,ChangePortal,Approved,2026-03-10,2026-03-11,tom.sec
WF010,ChangePortal,Approved,2026-03-15,2026-03-16,tom.sec
WF011,EmergencyForm,Approved,2026-02-12,2026-02-12,tom.sec
WF012,EmergencyForm,Approved,2026-03-03,2026-03-03,tom.sec
WF013,ChangePortal,Rejected,2026-02-18,,tom.sec
WF014,ChangePortal,Draft,2026-02-22,,tom.sec
WF015,LegacySystem,Approved,2025-12-01,2025-12-02,tom.sec
WF016,LegacySystem,Rejected,2025-11-15,,tom.sec